YouTube Comments,upvotes,Comment Date
the comentary is as legendary as the Lewa's performace,6,10 months ago (edited)
Robert Lewandowski  from Poland not from Brazil and his have a magical skill and great skill,9,1 year ago
"Three is called a Hat-trick
Five should be called a Lewandowski
Edit:- What!! This is crazy Thanks for the likes Guys.. Have a good day",9.8K,4 years ago (edited)
"”You just cannot be that good!!”


-Literally everyone watching this",1.9K,3 years ago (edited)
"Every few months, I keep coming back to this video. Unbelievable.",8,1 year ago
6 years later I still come back to watch this,10,1 year ago
What a legend,368,7 years ago
"""What did I miss?""
                                                                                 ""5 goals""
""WTF!!?? Who scored??""
                                                   ""Lwandowski - all of them""
""WTF!!!??? HE WASN'T EVEN PLAYING!!!!!""",2.9K,3 years ago
I like to come back here once or twice a year,3,1 month ago
"Piękna opowieść 
Powodzenia w Barcelonie",61,1 year ago
"Wolfsburg: 1-0 against Bayern
Lewandowski: I'm about to end this team's whole carreer.",1.7K,3 years ago (edited)
Most successful substitution in history,1.3K,6 years ago
"I would crying if he scored one like that last goal for barca. Absolute screamer 
️
️
️
️
️
️
.",8,1 year ago
The commentary makes it twice as good,7,1 year ago
"Messi and Ronaldo combined this season - 51 goals in 68 games

Robert Lewandowski - 48 goals in 41 games",2.7K,3 years ago
Everyone almost forgot that he scored 4 goals vs Real Madrid because it wasnt that fast as this one haha :D,1.1K,7 years ago (edited)
What he did that day is fkn amazing. Hats off Lewy.,14,1 year ago
Anyone else that just had to watch this again after the move? Really an end of an era!,8,1 year ago
It's like he's playing Fifa against his 4-year-old brother and he taught him the wrong buttons.,3K,5 years ago
"9:20 2015: ""You just cannot be that good""
2020: 55 goals in 47 games :]",1.8K,3 years ago
Sept6 2022...still refreshing to watch,5,1 year ago
As a Pole i am delighted every time i see this ,3,9 days ago
LewanGOALski,1.4K,7 years ago
This is the Best striker in the World,64,7 years ago
The best striker today ,1,7 months ago
Imagine going to get some snacks and when u return after 9 minutes and look at the scoreboard.,1,8 months ago
its a tradition for all hardcore football fans to watch this video once a month.,538,3 years ago
Somethings cannot be explained!,4,1 year ago
bruh pep's reaction is priceless,403,7 years ago
nobody will ever repeat such thing,176,7 years ago
From time to time I still come here!,3,2 months ago
"1:30 - Naldo was like ""WTF did just happen?"" :D",205,7 years ago
"with Lewandowski, the commentator is also on his top performance!",497,3 years ago
that last goal was absolutely incredible,2,7 months ago
Legendary,3,2 years ago
I was looking for this on youtube but couldn't find the full 9 minutes. Thanks for uploading bundesliga! :),411,7 years ago
"""You just cannot do it!! You just cannot be that good!!!"" Hands down my favourite piece of commentary ever",1K,3 years ago
I watch this video every once a while,3,2 years ago
Robert Lewandowski is one of the best strikers in world...and this shows why,180,7 years ago
he just cannot be that good,298,7 years ago
If he retires without a ballon d'Or...,4,2 years ago
I wish he could play like this for Poland,82,1 year ago
"This record will never, ever be beaten. Legendary.",3.5K,3 years ago
"This man Break Gurd Muller 41 Bundesliga scoring record & also break calendar year Bundesliga 42 goal  over 43. 
Also  equal C.Ronaldo best year record 69 ",7,2 years ago (edited)
Best striker in the world finally in the best club in the world. Robert Lewandowski welcome to Barcelona !,14,1 year ago
Stories say that Lewandowski is still scoring against Wolfsburg until this very day.,3.2K,6 years ago
Co jakiś czas wracam do tej historycznej chwili. Duma chwała ciary i oczy we łzach. Can't belive You so good. Robert,71,1 year ago
"LewanGOALski
️
- And now he's leaving for Barcelona",8,1 year ago
"The only reason why he did all of this is to destroy the camera at 9:56 for unknown reason. Once he accomplished the assassination, he stopped this madness.",2.6K,5 years ago
"You know that your a true football fan when you keep coming back to watch this every so often
️",9,1 year ago
The commentary makes this even better “Lewandowski GOES FOR IT AGAIN OH YOU JUST CAN’T DO IT. YOU JUST CAN NOT BE THAT GOOD. THAT IS AN AMAZING GOAL” chills every time man,3,1 month ago
"Record breaker
History maker.
5 years later still a beast. Pure legend.",1.5K,4 years ago
"Robert Lewandowski
 enters the field

Diego Benaglio
: ""Why do I hear boss music?""",1.7K,3 years ago
And now he’s coming to Barca ,11,1 year ago
That last one is bloody fantastico.......,5,2 years ago
"Bayern losing 0:1, after 9 minutes it's 5:1 and scored by one player lol.",520,7 years ago
"1st goal- oh equal.
2nd goal- cooll..
3rd goal- legandary.
4th and 5th- tell me i m not dreaming.",1.1K,2 years ago
"Unbelievieable 5 goals in 9 min, the fith goal was awoseme,  incredible!!!",10,1 year ago
The best 10 minutes any stricter could have…. Leaves me speechless like htf can you do that especially that bicycle,3,1 month ago
That last goal was Insane!,2.9K,6 years ago
that last goal was insane ,12,1 year ago
And people rn saying he's not a Bayern legend... ,6,1 year ago (edited)
"Commentator was so confused... He says 3 goals in 10 minutes, then says 4 goals in 10 minutes, then finally says 5 goals in 10 minutes",2.6K,5 years ago
Guardiolas reaction was gold,1.7K,5 years ago
who is watching after Lewy joined Barça? ,9,1 year ago
"Welcome to Barcelona. 
️",8,1 year ago
In the future - 9 goals in 5 minutes.,1.9K,7 years ago
OK. This is officially my 15th time watching this video.,2.7K,3 years ago
"Welcome to Barcelona Lewy 
️",6,1 year ago
Who's here after he won the best player in the world? ,5.5K,3 years ago
""" I don't know how many offers of marriage lewandoskis gonna have but pep guardiola will be one of them"" ",3.8K,6 years ago
"I like how they slap each other with Alaba after goal, seen it many times that has happened.",2,2 years ago
"Często oglodam na poprawę
Nastroju brawo ",13,10 months ago
the guy that went to buy food during those 10 minutes: “did I miss much?”,1.2K,3 years ago
and today he's offically the best player in the world,2.7K,3 years ago
This is the most amazing thing in footbal i've been repeatedly watching for years.,6,1 year ago
It's amazing that he scored the goals in order of increasing difficulty,923,3 years ago
welcome to barcelona ,9,1 year ago
"The euphoria he must've felt is insane. Scoring 5 goals in 9 minutes, many of them spectacular. The whole stadium filled to the brim with thousands of people cheering you. The roar of the crowd. Besides the crowd there were hundreds of thousands of people watching on tv.",18,11 months ago
And your telling me that this man still has not won a ballon d'or after breaking so many records and being so consistent and complete,3.1K,2 years ago
"Lewandowski : '' Hold my beer ''. 9 minutes later, Wolfsburg : '' For goodness sake, somebody give him back his beer!!! ''",2.4K,4 years ago
Lewandowski🇵🇱,6,1 year ago
He is unstoppable inside the box...#perfect stricker,9,1 year ago (edited)
This man just got 40 goals in one Bundesliga season. What a legend.,3.1K,2 years ago (edited)
Lewey The Man the myth the legend,8,1 year ago
"and 6 years later he still scored 30 goals every season, what a legend Mike Wazoski!",9,2 years ago
This was the day when the stadium announcer had to work hard ,605,7 years ago
6:06 Lewandoski scored too many goals he doesn’t even know what celebration he should do,1.6K,3 years ago
WELCOME TO THE BEST CLUB!,7,1 year ago
"За ЭТО надо ставить памятник при жизни. Браво, поляк !!!",12,2 years ago
Two heroes of Poland: Lewandovski and Geralt of Rivia,647,6 years ago
"Levendowski goes for it again oh you just can't do it! You just cannot be that good! That was an amazing goal. Levendowski , the fastest hat trick in the history of bundesliga.

I can say that I almost recited all of the words simply watching this channel.",817,7 years ago
"He actually did it in like 5min and a few sec, because in 4 of those 9 min were celebrations and a subsitute. That makes it even more impressive. 5 goals in like 5 min",11,1 year ago
"Admit it, this is not the first time you’re watching. Real men gotta come back to this once in a while.",1.3K,4 years ago
"After the match Lewa was like: ""I've never scored 5 goals in 9 mins""

Robert, no one has.",4,11 months ago
Co najmniej raz do roku muszę to obejrzeć! :D,15,4 months ago
That fifth goal was literally a mic drop....knocked a mic off its stand behind the net. Nice.,298,4 years ago
Robert Lewandowski certainly deserves a Ballon d'Or award,589,3 years ago
Lewandowski you Beauty ,3,1 year ago
The fifth ball  so amazing,16,1 year ago
"*man city scores 5 goals in 18 min
lewangoalski : hold my beer.",3.7K,4 years ago
"And now he’s coming to Barca. Thank you, Bayern.",22,1 year ago
Robert Lewangoalski,977,6 years ago
"0:39 Pep calls Boateng to give him some specific instructions while the rest of Bayern players celebrate the equalizer.
..... 5 mins & 3 goals later
6:17 Pep calls Boateng again: Remember what I said earlier? Forget everything, everyone just get the ball to Lewandowski!",1K,5 years ago
"Absolutely legendary. I always come back to this video from time to time, it's just spectacular. Lewy is a BEAST.",29,2 years ago (edited)
"Who is still watching in 2019 ? 
Lewandowski is so good 
️",2.9K,5 years ago (edited)
New Fifa difficulty = Lewandowski,1.1K,4 years ago (edited)
"Legend has it that fans are still going ""OOO OOOO OOOOOHHH""",3,2 years ago
"Why do i come back?


CAUSE THIS IS A MASTERPIECE!!",3,1 year ago
"1-0 behind and about to lose the game.
Gurdiola : “up up down down left right left right B A Start”.",1K,4 years ago
"That's ridiculous, Lewandowski was on the bench",1.3K,3 years ago
"The feat is so amazing, that the video showcasing it, doesn't even need to be edited. Bravo!",70,1 year ago
end of 2023 and still gives me chills how crazy this was,2,4 months ago
Almost forgot to watch this today..,1.7K,6 years ago
Legend says he is still scoring,273,3 years ago
Haaland got a triple hat trick in the Champions league tonight but Lewandowski was the first one I saw achieve this tremendous feat.,8,1 year ago
Lewandowski is Best 9,3,1 year ago
"Let me just remind you he came 16th in player of the year this year


Hoooooow? He's the polish terminator nothing can stop him(except injury)",930,7 years ago
"The guy that edits the highlights: 

-Well buddies i think i'm going home early tonight...",378,5 years ago
welcome  barcelona Lewy,8,1 year ago
Robert Lewandowski is amazing !,5,1 year ago
"4 Guinness World Records in one match
Fastest Bundesliga hat-trick
️
️
️
Fastest 4 goals
Fastest 5 goals 
Most goals scored by a substitute !!!
LewanGOALski!!",821,4 years ago (edited)
I lost count how times i have watched this moment of magic,545,3 years ago
Legend,5,1 year ago
Literally mic drop on that stunning last goal.,1,1 year ago
He did it! Lewy just broke Gerd Müller's record! He's just incredible...,795,2 years ago
"early morning, Mourinho's wife awakes him:
- Hun, get up, its five already
- What?! Lewandowski Again??",1.7K,4 years ago
One of the BEST EVER displays of footballing ability.,3,1 year ago
Best of the best RL9 GOAT striker,4,1 year ago
"There was a joke at some point: 
Mourinho's wife wakes Mourinho up in the morning with a shout ""wake up it is 6""
Mourinho replies: ""Lewandowski again""?",2.8K,3 years ago
"Our lovely hero🇵🇱
️",3,1 year ago
Lewandowski is unstoppable,2,3 months ago
"""i don't know how many offers of marriage lewandowski is gonna have, but pep guardiola is gonna be one of them"" this commentator is golden",65,7 years ago
"Welcome to Barca king
️‍",4,1 year ago
How is this possible? Never been done before. Crazy.,3,1 month ago
"Most of us have been watching football for a long time. We’ve seen some amazing goals or legendary comebacks. But this is, without a doubt, the most impressive ten minutes from any player I have ever witnessed. Just mind blowing.",350,3 years ago
"After match Borussia - Real ""LEW4NDOWSKI""
After this match evolution to ""LEWANDOW5KI""",1K,4 years ago
The G.O.A.T,3,1 year ago
Lewandowski 9 goals in 5 minutes. LEGEND,10,1 year ago
"""That is what Lewandowski does for a living""",120,3 years ago
Who is here after his 41 goals in Bundesliga?,1.7K,2 years ago
"Lewandowski? Lewangoalski?
Hell no
Legendowski",14K,7 years ago
Even Harry Kane will not repeat this feat!!! You will have to wait a LONG time!!!,2,3 weeks ago
The best 9 minutes you can watch on Youtube.,3,1 year ago
"Commentator :
3 goals in 10 minutes
4 goals in 10 minutes
5 goals in   9 minutes",6.7K,4 years ago
"Robert Lewandowski earns 4 Guinness World Records: Quickest hat-trick, 4-goal haul & 5-goal haul, and most goals by a sub.",36,1 year ago
"""Well i dont know how many offers of marriage Robert Lewandowski is gonna have but Pep Guardiola is gonna be one of them""",488,3 years ago
Kurwa what a player,2K,5 years ago
Came here after knowing that he is leaving Bayern ..Just cant believe it ,7,1 year ago
I can watch it in a loop for the rest of my life,2,2 years ago
"Every time I see it, I always worry that he will not have enough time for five goals in 9 minutes :)",347,2 years ago
"Wolfsburg fan returning from the bathroom: what happened

His friend: Lewandowski happened",615,4 years ago
jezu jakie to jest kurwa piękne,12,1 year ago
"Maybe is my 50th time watch this clip 
 this is art ",3,1 year ago
"Wracam tu mniej więcej co roku, to mój patriotyczny obowiązek.",665,2 years ago
I can't believe I watched this match in the Allianz Arena...my first ever visit to it and this happened.,42,6 years ago
Imagine someone went out for a smoke during this game when Wolfsburg were winning 1-0 and came back to it being 5-1.,2,2 years ago
“Because that’s what Robert Lewandowski does for a living”.....hilarious,737,4 years ago
Each goal was better than the last ,1.4K,6 years ago
1:14 I love this moment when they show a close-up of Lewandowski after he has scored and then during the same close-up he receives the ball scores barely after they show us the wide view. Terrific,8,2 years ago (edited)
This man deserves Ballon d’or,5,1 year ago
"Not only 5 goals in 9 mins, but finishing it off with one of the greatest ever.",99,3 years ago (edited)
"""well I don't know how many offers of marriage Robert Lewandowski is gonna have but Pep Guardiola is going to be one of them "" props to the commentator",168,3 years ago
The fact that the most watched and second most watched videos on the bundesliga channel are about this match just goes to show you how incredible this is,1,7 months ago
"Lewa scores a goal with everything, with a volley, a bicycle, a free kick, what a legendary striker.",7,1 year ago (edited)
"Me: No way you can fit in 5 goals in 10 minutes without edits.
Lewandowski: Hold my piwo",820,4 years ago
this was one of the most breathtaking pieces of football history ive ever seen. we will be telling our kids and grandkids about this game. absolutely unreal. i had this game bet at 3-1 and its the best 200 dollars ive ever lost,424,3 years ago
"...""because that is what Lewandowski does for a Living"".",6,1 year ago
to można oglądać w kółko,4,1 year ago
"YOU JUST CAN NOT BE THAT GOOD

That's so iconic I love this",66,2 years ago
Came here because Manchester City scored 5 goals in 18 minutes but Lewandowski scores 5 by himself in half that time. madness,548,4 years ago
W życiu nie widziałem czegoś takiego i już pewnie nigdy nie zobaczę. 🇵🇱,7,7 months ago
I have been lucky enough to watch this match live,2,10 months ago
"i imagine on Wolfsburg's bench
assistant: ""coach, should we change our defensive plan to counter Lewandowski?""
coach: ""naaah, we're fine, Naldo and Dante can handle him""
10 minutes later:",549,5 years ago
"If Lewa played in the EPL or La Liga he'd be considered the best #9 in the world, he's criminally underrated",370,3 years ago
Robert Lewandowski our Polish hero thank you Robert you are amaizing.,2,1 year ago
"It will be Lewy's record forever, legendary moment",2,10 months ago
"Who's still watching this amazing performance from Lewa, in 2020
  ",395,3 years ago
Challenge: Try to not smile while watching that.,609,3 years ago
When the Main Character enters the game at the last moment.,4,1 year ago
"How ironic. The Brazilian player Dante, here playing for Wolfsburg, was one of the players defeated in the Mineirazo (GER 7-1 BRA, Semi-finals of FIFA World Cup Brazil 2014). The goalkeeper Diego Benaglio was one of the Swiss players incredibly defeated by Luxembourg (1-2) in the UEFA Qualifications for the FIFA World Cup South Africa 2010...",4,1 year ago
"I love that line: ""YOU JUST CANT DO IT, YOU JUST CANNOT BE THAT GOOD""",62,3 years ago (edited)
"Ronaldo : I scored 4 goals on my last mach , nobody can do that 
Lewandoski : Hold my beer...",2.9K,6 years ago
"LEWANGOALSKI
AWESOME PERFORMANCE",2,1 year ago
Lewondowski should get a ballon' o dor,3,1 year ago
"Moral of this video,







Don't go the toilet, otherwise you'll miss 5 goals.",1.5K,5 years ago (edited)
"Pep to Robert after first half: Give me five, youre in.Robert to Pep: OK.",355,6 years ago
"The legend
the record",2,4 months ago
"Why ALL footage of these goals were pulled out of YouTube? Literally all, including shorts say “video not available”. Is someone trying to erase history?",3,6 months ago
I went crazy crazy when I saw this live! One of the best moments in football history,368,5 years ago
"Wolfsburg : breaths
Lewandowski : So you have chosen... death?",444,4 years ago (edited)
Imagine a guy in the match went to the toilet right before Robert's sub. Came back after 10 minutes and he saw the scoreboard...,3,1 year ago
Nine minutes that shook the (football) world.,6,2 years ago
the ballon d'or being cancelled after the season he just had is an absolute robbery,518,3 years ago
"How much footage of yourself do you want in highlights?
Lewandowski:- yes",94,2 years ago
9 : 35 reaction of coach is Gem,2,2 years ago
"Dortmund barca madrid United no matter which club you support, this video definitely brings a joy to every football fan.

Lewy is one of the few players you just cannot hate man",2,1 year ago
this record would still be unbeaten in 100years guys do you realize that?,900,4 years ago
Who's there AFTER breaking the Gerd Muller's record? :D 2021 RL9 still on fire!,301,2 years ago
Its a magical history..I think no one can distroy Lewandowskis recoard,4,1 year ago
barca fans use me as a love button that we have lewa now :),20,1 year ago
YOU CANT DO IT!!! YOU JUST CAN NOT BE THAT GOOD!!!,189,5 years ago
dislikes come from wolfsburgfans,411,7 years ago
Thomus muller could have two goals there such a good teammate,3,1 month ago
"9:18 such an underrated goal, and that assist from Lahm... pure art",8,1 year ago
"0:21 first goal 
1:21 2 goal 
3:42 3 goal 
Hat trick in 3 minuts 21 seconds 
 4 goal 
 5 goal 
5 goals in 8minuts 59 seconds what a man",639,2 years ago
Its Lewandowski vs. Wolfsburg,274,7 years ago
5th goal shows us the level of confidence he enters at that moment.,4,2 years ago
An exceptional player indeed.,4,2 years ago
Guardiola's reaction was priceless.,76,3 years ago
I noticed the commentator only speaks when Lewandoski scores.,305,6 years ago
Even cristiano isn’t that good or that accurate at scoring tap ins. This guy literally is the best no 9 of the present generation,8,1 year ago
Guardiola was so shocked that he felt his hair standing up which wasn't even there,4,9 months ago
I can assure you that he is the most underrated striker for the past 5 years. Nobody has given him the credits which he deserves. He has been the top scorer for fives consecutive season and has played amazing in champions leauge as well. My man needs the respect because he has fought for it!,306,3 years ago
"Remember this name ""robert lewandowski"" the most underrated striker in the whole the world..",168,2 years ago
"""Absolutely extraordinary"".",3,1 year ago
watching this is like a ritual for me that I come back here every month! Never gets old!,1,7 months ago
"""YOU JUST CAN'T BE THAT GOOD!!!!!""",143,3 years ago
"""3 goals in 10 mins""

Little did he know...",251,3 years ago
"this sport's commentator is a good man
pronounces lewandowski right and has a good voice",1,2 years ago
We all know that no one can ever do the same!,12,1 year ago
i love this commentator,320,6 years ago
Guardiolas reaction to the 5th goal tho,337,5 years ago
"Oglądam z 20 raz, średnio raz na kilka miesięcy",3,1 year ago
Barca fans coming here every day from now on,10,1 year ago
"Lewandoski took Guardiola's word really serious when he said "" Go make a difference""",56,2 years ago (edited)
One day I will show this to my son...,464,5 years ago
He deserved that Fifa Golden Boot and had every right to call out the organization!,3,1 year ago
🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱The best!!,3,1 year ago
"An editor’s dream
A Defenders nightmare
That’s Robert Lewandowski !!!",88,3 years ago
Lewandowski is a great great striker. Greetings from Hungary to our alliance brothers: Poland!,1K,6 years ago
Polish Ambassador in the World. Amazing after so many years.,3,1 year ago
"LEGENDARY HERO!
BRAVE HEART! 
Ballon d'Or!!! 
CORRUPTION IS EVERYWHERE!",5,1 year ago
You will not see anything like this in the next 50 years.,221,7 years ago
These are 9 min of terror!,105,3 years ago
Imagine the guy who went to the washroom for 9 minutes and coming back missing this masterpiece,12,1 year ago
Lewandoski is so good he makes this game look like fifa on beginner,2,2 years ago
Bardzo często tu wracam. Za kilkanaście lat to będzie jedno z najpiękniejszych wspomnień.,200,4 years ago
Who's back to see a miracle again in 2019?,588,4 years ago
this is the good change!,2,2 years ago
Everyone look at it endlessly !!! This will never happen again !!!,2,1 year ago
"One of the best players of all time, yet most underrated!!",92,4 years ago
Imagine going to the bathroom and when you come back Lewandowski have scored 5 goals,239,3 years ago
HOLA to ALL BARCELONA FANS <3,8,1 year ago
Why is the highlights 10 min when the goals were scored in 9 min,4,2 years ago
"It is amazing and in my opinion the best 9 minutes in the history of football.
""RL9"" The Polish striker.",197,3 years ago
w 9 minut zrobił więcej niż ja przez całe swoje życie...,3.8K,3 years ago
Why oh why an I watching it almost every month for the last couple of years? Probably looking for something reminding me how humans can be godly,3,2 months ago
These five goals are insane BUT to top it off with that 5th goal.. INSANE,1,2 years ago
Evolution: Lewandoofski -> Lewandowski -> Lewangoalski -> Legendowski,675,2 years ago
"From Poland.. Finally yesterday he take his dreams.. 8;2 barcelona, 3;0 Lyon, 1;0 Psg - GOOOD JOOB Robert, always love ! Thank You.",163,3 years ago
Haha! That mic drop at the 5th.,3,1 year ago
It has been a yearly tradition to rewatch these unforgettable moments,3,1 year ago
Robert Lewandowski is the guy who scored 50+ goals in Champions League and 50+ goals for national team. Only two other players in football history achieved that. Ronaldo and Messi. *** 2021 edit: It's 70+ now...,579,5 years ago (edited)
WHEN THE WINGED HUSSAR ARRIVED!,389,4 years ago
Robert jest bardzo dobrym piłkarzem to są fakty 🇵🇱🇵🇱🇵🇱,23,1 year ago
"Nasz Polski bohaterow 🇵🇱
️
️",10,1 year ago
The praise goes mostly to lewondowski but I give 90% of it to his teammates with miraculous setups,611,5 years ago
"Commentator : you just cannot be that good
Lewandowski : yes i can",91,3 years ago
Gather here if you get this in your recommendation after 5yrs... Lewangoalski is a beast,2,1 year ago
To mi sie hyba nigdy nieznudzi ogladac ! Czapki z glow Robert !,2,1 year ago
"There are two things that I must be proud of 
1. I’m from Poland (same as Lewandowski)
2. It happened on my birthday",161,4 years ago (edited)
"If Lewandowski was German, they would probably have another 2 world cups.",1.4K,3 years ago
"Is it just me or did it seem like each goal got more spectacular, like he was Levelling Up as the game went on...",2,1 year ago
PROUD FIGHTER FROM POLAND,1,2 years ago
Imagine being a frustrated Bayern fan who switched channels when they were losing. Then seeing the score after the game,296,4 years ago
"I remember watching this game live with some friends at the cafeteria at school.

We started laughing when Lewi made the first two goals, we were like whoa he made that looked so easy. We were about to leave when we heard the 3rd goal, then 4th, 5th. We couldn’t believe it. Everyone watching the game at the cafeteria was speechless!",270,3 years ago (edited)
"and its not a highlights, good luck at camp nou Lewy, you are a legend",3,1 year ago
Nobody can mess with lewendoski,3,1 year ago
Its No Messi No Ronaldo but its Lewandowski. This guy needs some special respect for this kind of Amazing performance. Luck + Skill = Miracle.,82,4 years ago
"Lewandowski is the man. Imagine if at Polamd, he had players like Bayern’s wingers what could he do.",278,2 years ago
"Who's here after he's signed for BARCA 
️",4,1 year ago
I always watch this clip and wonder if there is someone in that stadium who left at halftime for an emergency or something…,3,1 year ago
"9:55 this is how to drop the mic 
 in style",57,3 years ago
The commentator makes this already incredible performance even better. Who is he?,189,3 years ago
Who's here watching after he move to barcelona ?,8,1 year ago
Damn been watching like 100 times...my god Lewan....,6,1 year ago
the highlight is literally just 9 minutes straight streaming of the game,172,3 years ago
